Filename,Date,Monkey,Task,dob,date_mature,Day_to_maturation,age,percorr,percorr_class_1,percorr_class_2,percorr_class_3,percorr_class_4,percorr_class_5,percorr_class_6,percorr_class_7,percorr_class_8,ID,age_group4,mature_group4,month_to_maturation,age_month
pic026_1,14-Aug-2020,PIC,ODR3,04-Mar-2016,19-Aug-2022,-735,1624,0.703296703296703,1,0.444444444444444,0.727272727272727,0.470588235294118,0.888888888888889,0.727272727272727,0.888888888888889,1,PIC,2,1,-24.1643835616438,53.3917808219178
pic027_1,18-Aug-2020,PIC,ODR,04-Mar-2016,19-Aug-2022,-731,1628,0.964285714285714,1,1,1,1,1,0.833333333333333,0.909090909090909,1,PIC,2,1,-24.0328767123288,53.5232876712329
pic028_1,19-Aug-2020,PIC,ODR3,04-Mar-2016,19-Aug-2022,-730,1629,0.914285714285714,1,0.888888888888889,0.727272727272727,1,1,1,0.888888888888889,0.888888888888889,PIC,2,1,-24,53.5561643835616
pic029_1,20-Aug-2020,PIC,ODR3,04-Mar-2016,19-Aug-2022,-729,1630,0.878787878787879,0.888888888888889,0.888888888888889,1,1,1,1,0.538461538461538,1,PIC,2,1,-23.9671232876712,53.5890410958904
pic030_1,21-Aug-2020,PIC,ODR3,04-Mar-2016,19-Aug-2022,-728,1631,0.822784810126582,0.727272727272727,0.8,0.5,0.888888888888889,1,1,1,1,PIC,2,1,-23.9342465753425,53.6219178082192
pic031_1,09-Dec-2020,PIC,ODR,04-Mar-2016,19-Aug-2022,-618,1741,0.938271604938272,0.909090909090909,1,1,1,1,1,0.9,0.75,PIC,3,1,-20.3178082191781,57.2383561643836
pic032_1,10-Dec-2020,PIC,ODR3,04-Mar-2016,19-Aug-2022,-617,1742,0.772727272727273,0.9,0.8,0.692307692307692,0.5625,0.888888888888889,0.8,0.8,0.9,PIC,3,1,-20.2849315068493,57.2712328767123
pic033_1,15-Dec-2020,PIC,ODR,04-Mar-2016,19-Aug-2022,-612,1747,0.941176470588235,0.888888888888889,0.727272727272727,1,1,1,1,1,1,PIC,3,1,-20.1205479452055,57.4356164383562
pic034_1,16-Dec-2020,PIC,ODR,04-Mar-2016,19-Aug-2022,-611,1748,0.988372093023256,0.916666666666667,1,1,1,1,1,1,1,PIC,3,1,-20.0876712328767,57.4684931506849
pic035_1,17-Dec-2020,PIC,ODR3,04-Mar-2016,19-Aug-2022,-610,1749,0.96969696969697,1,1,1,1,1,0.8,1,1,PIC,3,1,-20.0547945205479,57.5013698630137
pic036_1,23-Dec-2020,PIC,ODR3,04-Mar-2016,19-Aug-2022,-604,1755,0.955223880597015,1,0.888888888888889,1,1,1,1,1,0.8,PIC,3,1,-19.8575342465753,57.6986301369863
